Session,Team,No,Space,Action,Erros,Attempts,Score
1,POL,19,5,5,0.0,0.0,0.0
1,POL,16,1,2,0.0,0.0,0.0
1,POL,14,8,3,1.0,0.0,0.0
1,POL,14,7,8,0.0,1.0,0.0
1,POL,19,2,5,0.0,1.0,0.0
1,POL,6,3,1,0.0,0.0,0.0
1,POL,14,5,3,1.0,0.0,0.0
1,POL,6,11,6,0.0,0.0,0.0
1,POL,6,11,6,1.0,0.0,0.0
1,POL,19,5,5,0.0,0.0,0.0
1,POL,16,1,1,0.0,0.0,0.0
1,POL,19,5,5,0.0,0.0,0.0
1,POL,6,3,1,0.0,0.0,1.0
1,POL,16,10,6,0.0,0.0,0.0
1,POL,6,6,3,1.0,0.0,0.0
1,POL,20,12,6,0.0,0.0,0.0
1,POL,20,7,3,1.0,0.0,0.0
1,POL,16,4,8,0.0,1.0,0.0
1,POL,19,2,5,0.0,0.0,0.0
1,POL,15,2,1,0.0,0.0,0.0
1,POL,19,1,5,0.0,0.0,0.0
1,POL,14,1,1,0.0,0.0,1.0
1,POL,19,12,4,0.0,0.0,0.0
1,POL,15,2,2,0.0,0.0,1.0
1,POL,16,5,3,0.0,0.0,0.0
1,POL,14,3,5,0.0,0.0,0.0
1,POL,15,3,1,0.0,0.0,0.0
1,POL,16,8,2,1.0,0.0,0.0
1,POL,16,2,1,0.0,0.0,1.0
1,POL,14,12,1,0.0,0.0,0.0
1,POL,14,12,6,0.0,0.0,0.0
1,POL,15,1,2,0.0,0.0,0.0
1,POL,14,8,3,0.0,0.0,0.0
1,POL,19,1,5,0.0,0.0,0.0
1,POL,16,1,1,1.0,0.0,0.0
1,POL,16,1,1,1.0,0.0,0.0
1,POL,6,3,1,0.0,0.0,0.0
1,POL,16,1,2,0.0,0.0,0.0
1,POL,20,2,1,0.0,0.0,0.0
1,POL,6,1,2,1.0,0.0,0.0
1,POL,14,8,8,0.0,0.0,0.0
1,POL,19,2,5,0.0,0.0,0.0
1,POL,20,1,2,1.0,0.0,0.0
1,POL,16,7,8,0.0,0.0,0.0
1,POL,19,5,5,0.0,0.0,0.0
1,POL,16,1,1,0.0,0.0,1.0
1,POL,16,10,6,0.0,0.0,0.0
1,POL,17,8,8,0.0,0.0,0.0
1,POL,19,3,5,0.0,0.0,0.0
1,POL,20,3,2,0.0,0.0,0.0
1,POL,16,6,3,0.0,0.0,0.0
1,POL,19,2,5,0.0,0.0,0.0
1,POL,14,1,1,0.0,0.0,1.0
1,POL,20,12,6,1.0,0.0,0.0
1,POL,14,4,8,0.0,1.0,0.0
1,POL,14,1,1,0.0,0.0,1.0
1,POL,6,3,2,0.0,0.0,0.0
1,POL,19,12,4,0.0,0.0,0.0
1,POL,17,1,3,1.0,0.0,0.0
1,POL,14,6,8,0.0,1.0,0.0
1,POL,19,2,5,0.0,1.0,0.0
1,POL,14,3,1,0.0,0.0,1.0
1,POL,23,8,3,0.0,0.0,0.0
1,POL,15,1,3,0.0,0.0,0.0
1,POL,19,2,5,0.0,0.0,0.0
1,POL,23,10,6,1.0,0.0,0.0
1,POL,15,11,6,0.0,0.0,1.0
1,POL,15,11,6,0.0,0.0,1.0
1,POL,15,11,6,0.0,0.0,0.0
1,POL,19,2,3,1.0,0.0,0.0
1,POL,17,8,8,1.0,0.0,0.0
1,POL,17,5,8,1.0,0.0,0.0
1,POL,14,8,8,0.0,0.0,0.0
1,POL,19,5,5,0.0,0.0,0.0
1,POL,16,1,1,0.0,0.0,1.0
1,POL,6,11,6,0.0,0.0,0.0
1,POL,16,7,8,0.0,1.0,0.0
1,POL,20,2,1,0.0,0.0,1.0
1,POL,16,10,6,1.0,0.0,0.0
1,POL,16,2,1,0.0,0.0,1.0
1,POL,20,3,2,0.0,0.0,0.0
1,POL,20,1,2,0.0,0.0,0.0
1,POL,19,6,3,0.0,0.0,0.0
1,POL,14,5,5,0.0,0.0,0.0
1,POL,16,1,1,0.0,0.0,1.0
1,POL,15,11,6,0.0,0.0,1.0
1,POL,15,11,6,1.0,0.0,0.0
1,POL,14,7,8,0.0,0.0,0.0
1,POL,16,13,3,0.0,0.0,0.0
1,POL,14,5,3,0.0,0.0,0.0
1,POL,20,3,2,0.0,0.0,1.0
1,POL,6,11,6,0.0,0.0,0.0
1,POL,6,11,6,0.0,0.0,0.0
1,POL,6,6,3,1.0,0.0,0.0
1,POL,17,9,8,0.0,1.0,0.0
1,POL,19,2,5,0.0,1.0,0.0
1,POL,6,3,1,1.0,0.0,0.0
1,POL,14,8,8,0.0,0.0,0.0
1,POL,16,1,1,0.0,0.0,1.0
1,POL,17,4,3,0.0,0.0,0.0
1,POL,14,1,1,0.0,0.0,0.0
1,POL,17,1,3,0.0,0.0,0.0
